indicator,date,rate
open,2022-08-26 16:02:00,28.58
high,2022-08-26 16:02:00,28.58
low,2022-08-26 16:02:00,28.58
close,2022-08-26 16:02:00,28.58
open,2022-08-26 16:01:00,28.58
high,2022-08-26 16:01:00,28.58
low,2022-08-26 16:01:00,28.58
close,2022-08-26 16:01:00,28.58
open,2022-08-26 16:00:00,28.635
high,2022-08-26 16:00:00,28.645
low,2022-08-26 16:00:00,28.58
close,2022-08-26 16:00:00,28.58
open,2022-08-26 15:59:00,28.65
high,2022-08-26 15:59:00,28.65
low,2022-08-26 15:59:00,28.63
close,2022-08-26 15:59:00,28.635
open,2022-08-26 15:58:00,28.655
high,2022-08-26 15:58:00,28.655
low,2022-08-26 15:58:00,28.65
close,2022-08-26 15:58:00,28.65
open,2022-08-26 15:57:00,28.64
high,2022-08-26 15:57:00,28.66
low,2022-08-26 15:57:00,28.64
close,2022-08-26 15:57:00,28.655
open,2022-08-26 15:56:00,28.635
high,2022-08-26 15:56:00,28.645
low,2022-08-26 15:56:00,28.63
close,2022-08-26 15:56:00,28.64
open,2022-08-26 15:55:00,28.6247
high,2022-08-26 15:55:00,28.635
low,2022-08-26 15:55:00,28.62
close,2022-08-26 15:55:00,28.63
open,2022-08-26 15:54:00,28.58
high,2022-08-26 15:54:00,28.625
low,2022-08-26 15:54:00,28.58
close,2022-08-26 15:54:00,28.625
open,2022-08-26 15:53:00,28.555
high,2022-08-26 15:53:00,28.58
low,2022-08-26 15:53:00,28.555
close,2022-08-26 15:53:00,28.58
open,2022-08-26 15:52:00,28.54
high,2022-08-26 15:52:00,28.5553
low,2022-08-26 15:52:00,28.54
close,2022-08-26 15:52:00,28.5553
open,2022-08-26 15:51:00,28.54
high,2022-08-26 15:51:00,28.55
low,2022-08-26 15:51:00,28.53
close,2022-08-26 15:51:00,28.545
open,2022-08-26 15:50:00,28.53
high,2022-08-26 15:50:00,28.53
low,2022-08-26 15:50:00,28.525
close,2022-08-26 15:50:00,28.525
open,2022-08-26 15:49:00,28.515
high,2022-08-26 15:49:00,28.525
low,2022-08-26 15:49:00,28.515
close,2022-08-26 15:49:00,28.515
open,2022-08-26 15:48:00,28.505
high,2022-08-26 15:48:00,28.515
low,2022-08-26 15:48:00,28.505
close,2022-08-26 15:48:00,28.515
open,2022-08-26 15:47:00,28.52
high,2022-08-26 15:47:00,28.52
low,2022-08-26 15:47:00,28.51
close,2022-08-26 15:47:00,28.51
open,2022-08-26 15:46:00,28.5
high,2022-08-26 15:46:00,28.52
low,2022-08-26 15:46:00,28.5
close,2022-08-26 15:46:00,28.51
open,2022-08-26 15:45:00,28.49
high,2022-08-26 15:45:00,28.495
low,2022-08-26 15:45:00,28.485
close,2022-08-26 15:45:00,28.495
open,2022-08-26 15:44:00,28.552
high,2022-08-26 15:44:00,28.555
low,2022-08-26 15:44:00,28.49
close,2022-08-26 15:44:00,28.49
open,2022-08-26 15:43:00,28.555
high,2022-08-26 15:43:00,28.555
low,2022-08-26 15:43:00,28.55
close,2022-08-26 15:43:00,28.55
open,2022-08-26 15:42:00,28.56
high,2022-08-26 15:42:00,28.565
low,2022-08-26 15:42:00,28.555
close,2022-08-26 15:42:00,28.555
open,2022-08-26 15:40:00,28.56
high,2022-08-26 15:40:00,28.56
low,2022-08-26 15:40:00,28.56
close,2022-08-26 15:40:00,28.56
open,2022-08-26 15:39:00,28.56
high,2022-08-26 15:39:00,28.56
low,2022-08-26 15:39:00,28.555
close,2022-08-26 15:39:00,28.56
open,2022-08-26 15:37:00,28.57
high,2022-08-26 15:37:00,28.57
low,2022-08-26 15:37:00,28.56
close,2022-08-26 15:37:00,28.565
open,2022-08-26 15:36:00,28.57
high,2022-08-26 15:36:00,28.59
low,2022-08-26 15:36:00,28.57
close,2022-08-26 15:36:00,28.58
open,2022-08-26 15:35:00,28.58
high,2022-08-26 15:35:00,28.58
low,2022-08-26 15:35:00,28.56
close,2022-08-26 15:35:00,28.57
open,2022-08-26 15:34:00,28.595
high,2022-08-26 15:34:00,28.595
low,2022-08-26 15:34:00,28.59
close,2022-08-26 15:34:00,28.59
open,2022-08-26 15:33:00,28.6
high,2022-08-26 15:33:00,28.6
low,2022-08-26 15:33:00,28.6
close,2022-08-26 15:33:00,28.6
open,2022-08-26 15:32:00,28.61
high,2022-08-26 15:32:00,28.61
low,2022-08-26 15:32:00,28.605
close,2022-08-26 15:32:00,28.605
open,2022-08-26 15:31:00,28.625
high,2022-08-26 15:31:00,28.625
low,2022-08-26 15:31:00,28.61
close,2022-08-26 15:31:00,28.615
open,2022-08-26 15:30:00,28.62
high,2022-08-26 15:30:00,28.62
low,2022-08-26 15:30:00,28.615
close,2022-08-26 15:30:00,28.615
open,2022-08-26 15:29:00,28.625
high,2022-08-26 15:29:00,28.625
low,2022-08-26 15:29:00,28.62
close,2022-08-26 15:29:00,28.62
open,2022-08-26 15:28:00,28.605
high,2022-08-26 15:28:00,28.62
low,2022-08-26 15:28:00,28.605
close,2022-08-26 15:28:00,28.62
open,2022-08-26 15:25:00,28.6
high,2022-08-26 15:25:00,28.6
low,2022-08-26 15:25:00,28.6
close,2022-08-26 15:25:00,28.6
open,2022-08-26 15:23:00,28.62
high,2022-08-26 15:23:00,28.62
low,2022-08-26 15:23:00,28.605
close,2022-08-26 15:23:00,28.605
open,2022-08-26 15:22:00,28.63
high,2022-08-26 15:22:00,28.63
low,2022-08-26 15:22:00,28.63
close,2022-08-26 15:22:00,28.63
open,2022-08-26 15:21:00,28.625
high,2022-08-26 15:21:00,28.64
low,2022-08-26 15:21:00,28.625
close,2022-08-26 15:21:00,28.64
open,2022-08-26 15:20:00,28.6325
high,2022-08-26 15:20:00,28.6325
low,2022-08-26 15:20:00,28.63
close,2022-08-26 15:20:00,28.63
open,2022-08-26 15:19:00,28.63
high,2022-08-26 15:19:00,28.63
low,2022-08-26 15:19:00,28.63
close,2022-08-26 15:19:00,28.63
open,2022-08-26 15:18:00,28.61
high,2022-08-26 15:18:00,28.615
low,2022-08-26 15:18:00,28.61
close,2022-08-26 15:18:00,28.615
open,2022-08-26 15:17:00,28.6
high,2022-08-26 15:17:00,28.6
low,2022-08-26 15:17:00,28.6
close,2022-08-26 15:17:00,28.6
open,2022-08-26 15:16:00,28.585
high,2022-08-26 15:16:00,28.61
low,2022-08-26 15:16:00,28.585
close,2022-08-26 15:16:00,28.6
open,2022-08-26 15:14:00,28.58
high,2022-08-26 15:14:00,28.585
low,2022-08-26 15:14:00,28.575
close,2022-08-26 15:14:00,28.58
open,2022-08-26 15:13:00,28.59
high,2022-08-26 15:13:00,28.59
low,2022-08-26 15:13:00,28.585
close,2022-08-26 15:13:00,28.59
open,2022-08-26 15:12:00,28.595
high,2022-08-26 15:12:00,28.595
low,2022-08-26 15:12:00,28.595
close,2022-08-26 15:12:00,28.595
open,2022-08-26 15:11:00,28.6
high,2022-08-26 15:11:00,28.6
low,2022-08-26 15:11:00,28.6
close,2022-08-26 15:11:00,28.6
open,2022-08-26 15:10:00,28.61
high,2022-08-26 15:10:00,28.61
low,2022-08-26 15:10:00,28.6
close,2022-08-26 15:10:00,28.6
open,2022-08-26 15:09:00,28.615
high,2022-08-26 15:09:00,28.615
low,2022-08-26 15:09:00,28.615
close,2022-08-26 15:09:00,28.615
open,2022-08-26 15:08:00,28.63
high,2022-08-26 15:08:00,28.635
low,2022-08-26 15:08:00,28.61
close,2022-08-26 15:08:00,28.61
open,2022-08-26 15:07:00,28.64
high,2022-08-26 15:07:00,28.64
low,2022-08-26 15:07:00,28.635
close,2022-08-26 15:07:00,28.635
